Document,Topic,Name,Top_n_words,Probability,Representative_document,index,nom,groupe,date_seance,nb_mots_approx,profession,titre,titre_complet,intervention,sexe,n_y_naissance,label,titre_regexed,contexte,proba_gauche
"Les exigences procédurales absorbent aujourd'hui 40 % du temps consacré par les policiers aux enquêtes. Vous le savez, ils nous demandent de simplifier et de dématérialiser ces procédures pour pouvoir enfin se recentrer sur leur mission première : la sécurité des Français, première des libertés.",74,74_5g_sécurité_policiers_technologies,5g - sécurité - policiers - technologies - bureaucratie - trafiquants - policière - ovm - développement - efficacité,1.0,False,55385,Éric Ciotti,LR,2017-10-11,45,Autre profession,motion de rejet préalable,sécurité intérieure et lutte contre le terrorisme > motion de rejet préalable,"Les exigences procédurales absorbent aujourd'hui 40 % du temps consacré par les policiers aux enquêtes. Vous le savez, ils nous demandent de simplifier et de dématérialiser ces procédures pour pouvoir enfin se recentrer sur leur mission première : la sécurité des Français, première des libertés.",H,0.6951219512195121,2.0,motion de rejet préalable,sécurité intérieure et lutte contre le terrorisme,0.01086441
"Aussi, à regret, car ce sera la première fois depuis 2012, le groupe Les Républicains votera à la quasi-unanimité contre un projet de loi sur ce sujet, et demande l'adoption de la motion de rejet préalable.",2,2_motion_renvoi_amendements_rejet,motion - renvoi - amendements - rejet - groupe - commission - nous - texte - républicains - préalable,1.0,False,55388,Éric Ciotti,LR,2017-10-11,36,Autre profession,motion de rejet préalable,sécurité intérieure et lutte contre le terrorisme > motion de rejet préalable,"Aussi, à regret, car ce sera la première fois depuis 2012, le groupe Les Républicains votera à la quasi-unanimité contre un projet de loi sur ce sujet, et demande l'adoption de la motion de rejet préalable.",H,0.6951219512195121,2.0,motion de rejet préalable,sécurité intérieure et lutte contre le terrorisme,0.025804268
"On ne peut concevoir – tel est du moins l'avis des membres du groupe Les Républicains – l'examen d'une demande d'asile si l'intéressé refuse que l'on relève ses empreintes digitales. Comme l'ont clairement affirmé les sénateurs, un tel refus devrait constituer un motif suffisant d'interruption immédiate de l'examen de la demande d'asile.",17,17_asile_demandes_nationalité_pays,asile - demandes - nationalité - pays - france - étrangers - étranger - réfugié - française - territoire,0.05507333819800167,False,55417,Éric Ciotti,LR,2018-02-15,52,Autre profession,discussion générale,bonne application du régime d'asile européen > discussion générale,"On ne peut concevoir – tel est du moins l'avis des membres du groupe Les Républicains – l'examen d'une demande d'asile si l'intéressé refuse que l'on relève ses empreintes digitales. Comme l'ont clairement affirmé les sénateurs, un tel refus devrait constituer un motif suffisant d'interruption immédiate de l'examen de la demande d'asile.",H,0.6951219512195121,2.0,discussion générale,bonne application du régime d'asile européen,0.74281734
"Avec 262 000 titres de séjour octroyés en 2017, vous détenez, depuis votre arrivée au pouvoir, le record en la matière.",17,17_asile_demandes_nationalité_pays,asile - demandes - nationalité - pays - france - étrangers - étranger - réfugié - française - territoire,0.05871495338884532,False,55425,Éric Ciotti,LR,2018-02-15,21,Autre profession,article 1er,bonne application du régime d'asile européen > article 1er,"Avec 262 000 titres de séjour octroyés en 2017, vous détenez, depuis votre arrivée au pouvoir, le record en la matière.",H,0.6951219512195121,2.0,Article Xer,bonne application du régime d'asile européen,0.17743944
"Alors que plus de 1,3 million de titres de séjours ont été délivrés entre 2012 et 2017, notre pays compterait au moins – selon vos chiffres mêmes, monsieur le ministre d'État – 400 000 étrangers en situation irrégulière.",17,17_asile_demandes_nationalité_pays,asile - demandes - nationalité - pays - france - étrangers - étranger - réfugié - française - territoire,0.07878230153913154,False,55438,Éric Ciotti,LR,2018-04-16,38,Autre profession,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie > motion de renvoi en commission,"Alors que plus de 1,3 million de titres de séjours ont été délivrés entre 2012 et 2017, notre pays compterait au moins – selon vos chiffres mêmes, monsieur le ministre d'État – 400 000 étrangers en situation irrégulière.",H,0.6951219512195121,2.0,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie,0.00084014446
"En France, les demandes d'asile ont dépassé le seuil des 100 000 – et même, en 2017, les 121 0000 aux guichets uniques – , alors même – vous l'avez opportunément rappelé, monsieur le ministre d'État – qu'elles diminuent significativement dans l'ensemble de l'Europe.",17,17_asile_demandes_nationalité_pays,asile - demandes - nationalité - pays - france - étrangers - étranger - réfugié - française - territoire,0.1084757826976358,False,55439,Éric Ciotti,LR,2018-04-16,44,Autre profession,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie > motion de renvoi en commission,"En France, les demandes d'asile ont dépassé le seuil des 100 000 – et même, en 2017, les 121 0000 aux guichets uniques – , alors même – vous l'avez opportunément rappelé, monsieur le ministre d'État – qu'elles diminuent significativement dans l'ensemble de l'Europe.",H,0.6951219512195121,2.0,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie,0.03193024
"Dans ce contexte sombre et préoccupant, votre intention, monsieur le ministre, à travers votre projet de loi, est de faire preuve de fermeté : nous avons bien entendu votre discours.",54,54_engagements_votre_ministre_premier,engagements - votre - ministre - premier - pris - promesses - rassurer - vous - prêt - engagement,0.07111704935886347,False,55442,Éric Ciotti,LR,2018-04-16,30,Autre profession,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie > motion de renvoi en commission,"Dans ce contexte sombre et préoccupant, votre intention, monsieur le ministre, à travers votre projet de loi, est de faire preuve de fermeté : nous avons bien entendu votre discours.",H,0.6951219512195121,2.0,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie,0.00060205744
"Quand on parle de souveraineté et du devenir de notre nation, le « en même temps » fondateur du macronisme apparaît comme un exercice bien désuet et très vain.",11,11_europe_européenne_union_européen,europe - européenne - union - européen - défense - peuples - france - européennes - européens - notre,0.08786470382448985,False,55446,Éric Ciotti,LR,2018-04-16,29,Autre profession,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie > motion de renvoi en commission,"Quand on parle de souveraineté et du devenir de notre nation, le « en même temps » fondateur du macronisme apparaît comme un exercice bien désuet et très vain.",H,0.6951219512195121,2.0,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie,0.0070666587
"Je m'attarderai sur l'article 3 – sans doute celui qui comprend le plus de dispositions à risques – qui prévoit l'extension du droit au regroupement familial non plus uniquement aux ascendants, mais également aux frères et soeurs du mineur protégé. Cette mesure va créer un appel d'air pour les passeurs, pour les filières de traite des êtres humains et notamment d'enfants.",56,56_concubinage_regroupement_familial_séjour,concubinage - regroupement - familial - séjour - prouver - acte - extension - familiale - étranger - couples,0.04093092919769098,False,55455,Éric Ciotti,LR,2018-04-16,61,Autre profession,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie > motion de renvoi en commission,"Je m'attarderai sur l'article 3 – sans doute celui qui comprend le plus de dispositions à risques – qui prévoit l'extension du droit au regroupement familial non plus uniquement aux ascendants, mais également aux frères et soeurs du mineur protégé. Cette mesure va créer un appel d'air pour les passeurs, pour les filières de traite des êtres humains et notamment d'enfants.",H,0.6951219512195121,2.0,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie,0.0005193616
"Oui, vous êtes obligés de « communiquer là-dessus », chers collègues. Nous vous le demandons ! Nous vous posons donc solennellement la question, monsieur le ministre d'État, et nous demandons qu'elle soit débattue en commission : y a-t-il, oui ou non, un plan caché de régularisation des étrangers en situation illégale dans notre pays ?",36,36_immigration_régularisation_clandestins_question,immigration - régularisation - clandestins - question - 40 - régularisés - asile - 000 - nous - régularisations,0.3180903863887175,False,55464,Éric Ciotti,LR,2018-04-16,55,Autre profession,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie > motion de renvoi en commission,"Oui, vous êtes obligés de « communiquer là-dessus », chers collègues. Nous vous le demandons ! Nous vous posons donc solennellement la question, monsieur le ministre d'État, et nous demandons qu'elle soit débattue en commission : y a-t-il, oui ou non, un plan caché de régularisation des étrangers en situation illégale dans notre pays ?",H,0.6951219512195121,2.0,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie,0.0031844329
"Ensuite, nous devons nous attaquer à l'un des principaux freins à l'éloignement, qui tient à la difficulté d'obtenir des laissez-passer consulaires de la part de certains pays. Pour éviter les manoeuvres dilatoires des consulats, il conviendra de conditionner le versement de toute aide publique au développement à leur délivrance.",17,17_asile_demandes_nationalité_pays,asile - demandes - nationalité - pays - france - étrangers - étranger - réfugié - française - territoire,0.07228854234579955,False,55467,Éric Ciotti,LR,2018-04-16,49,Autre profession,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie > motion de renvoi en commission,"Ensuite, nous devons nous attaquer à l'un des principaux freins à l'éloignement, qui tient à la difficulté d'obtenir des laissez-passer consulaires de la part de certains pays. Pour éviter les manoeuvres dilatoires des consulats, il conviendra de conditionner le versement de toute aide publique au développement à leur délivrance.",H,0.6951219512195121,2.0,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie,0.0001948048
"Enfin, nous l'affirmons avec force, seul le placement en centre de rétention administrative permettra d'assurer l'éloignement effectif des étrangers en situation irrégulière.",17,17_asile_demandes_nationalité_pays,asile - demandes - nationalité - pays - france - étrangers - étranger - réfugié - française - territoire,0.07526909149636264,False,55468,Éric Ciotti,LR,2018-04-16,22,Autre profession,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie > motion de renvoi en commission,"Enfin, nous l'affirmons avec force, seul le placement en centre de rétention administrative permettra d'assurer l'éloignement effectif des étrangers en situation irrégulière.",H,0.6951219512195121,2.0,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie,0.0023857756
"Face aux sombres temps qui s'annoncent, il est des demi-mesures qui relèvent, non pas de l'habileté, mais de la faute. C'est pour toutes ces raisons que nous demandons que le projet de loi soit renvoyé en commission.",2,2_motion_renvoi_amendements_rejet,motion - renvoi - amendements - rejet - groupe - commission - nous - texte - républicains - préalable,0.08757701305974645,False,55475,Éric Ciotti,LR,2018-04-16,37,Autre profession,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie > motion de renvoi en commission,"Face aux sombres temps qui s'annoncent, il est des demi-mesures qui relèvent, non pas de l'habileté, mais de la faute. C'est pour toutes ces raisons que nous demandons que le projet de loi soit renvoyé en commission.",H,0.6951219512195121,2.0,motion de renvoi en commission,immigration maîtrisée droit d'asile effectif et intégration réussie,0.007354159
"Je tiens tout d'abord à dire l'indignation que m'inspirent les propos de M. Boudié, qui sont scandaleux et réducteurs. Ils montrent votre vrai visage, monsieur Boudié, celui du sectarisme : dès qu'on ne pense pas comme vous, conformément à la pensée unique tombant du sommet, on est d'extrême-droite !",35,35_idéologie_vous_insulter_on,idéologie - vous - insulter - on - parce - religion - votre - israël - coupe - gauche,0.0564913697743838,False,55485,Éric Ciotti,LR,2018-04-17,49,Autre profession,article 1er,immigration maîtrisée droit d'asile effectif et intégration réussie > article 1er,"Je tiens tout d'abord à dire l'indignation que m'inspirent les propos de M. Boudié, qui sont scandaleux et réducteurs. Ils montrent votre vrai visage, monsieur Boudié, celui du sectarisme : dès qu'on ne pense pas comme vous, conformément à la pensée unique tombant du sommet, on est d'extrême-droite !",H,0.6951219512195121,2.0,Article Xer,immigration maîtrisée droit d'asile effectif et intégration réussie,0.91695845
"Il s'agit, me semble-t-il, d'une mesure de bon sens ne relevant d'aucune position extrême mais de la nécessité et de l'indispensable exigence de protection de nos concitoyens, notamment face au terrorisme.",52,52_sécurité_cybersécurité_sûreté_répression,sécurité - cybersécurité - sûreté - répression - précaution - terroristes - concitoyens - menace - composée - responsabiliser,0.05169359793860176,False,55488,Éric Ciotti,LR,2018-04-17,31,Autre profession,article 1er,immigration maîtrisée droit d'asile effectif et intégration réussie > article 1er,"Il s'agit, me semble-t-il, d'une mesure de bon sens ne relevant d'aucune position extrême mais de la nécessité et de l'indispensable exigence de protection de nos concitoyens, notamment face au terrorisme.",H,0.6951219512195121,2.0,Article Xer,immigration maîtrisée droit d'asile effectif et intégration réussie,0.8858642
Nous sommes au troisième jour du débat et M. le ministre d'État n'a toujours pas répondu à la question que nous lui avons posée sur le pacte de régularisation.,36,36_immigration_régularisation_clandestins_question,immigration - régularisation - clandestins - question - 40 - régularisés - asile - 000 - nous - régularisations,0.1668939710729859,False,55492,Éric Ciotti,LR,2018-04-18,29,Autre profession,article 2,immigration maîtrisée droit d'asile effectif et intégration réussie > article 2,Nous sommes au troisième jour du débat et M. le ministre d'État n'a toujours pas répondu à la question que nous lui avons posée sur le pacte de régularisation.,H,0.6951219512195121,2.0,Article X,immigration maîtrisée droit d'asile effectif et intégration réussie,0.005109098
"… sans demander le statut de réfugié, sans demander l'asile, on n'a pas le droit de bénéficier de ce statut protecteur, parce que la loi a été violée. Sinon, cela créerait un appel d'air en faveur de l'entrée illégale sur le territoire de la République.",17,17_asile_demandes_nationalité_pays,asile - demandes - nationalité - pays - france - étrangers - étranger - réfugié - française - territoire,1.0,False,55496,Éric Ciotti,LR,2018-04-18,45,Autre profession,article 2,immigration maîtrisée droit d'asile effectif et intégration réussie > article 2,"… sans demander le statut de réfugié, sans demander l'asile, on n'a pas le droit de bénéficier de ce statut protecteur, parce que la loi a été violée. Sinon, cela créerait un appel d'air en faveur de l'entrée illégale sur le territoire de la République.",H,0.6951219512195121,2.0,Article X,immigration maîtrisée droit d'asile effectif et intégration réussie,0.6200982
"Monsieur le président, mon rappel au règlement est fondé sur l'article 58 de notre règlement, qui porte sur le déroulement des séances. Il est à mon sens nécessaire qu'à ce stade nos débats retrouvent une certaine sérénité.",16,16_règlement_58_rappel_alinéa,règlement - 58 - rappel - alinéa - article - fonde - fondement - débats - déroulement - séance,0.5689244166558375,False,55511,Éric Ciotti,LR,2018-04-18,37,Autre profession,article 3,immigration maîtrisée droit d'asile effectif et intégration réussie > article 3,"Monsieur le président, mon rappel au règlement est fondé sur l'article 58 de notre règlement, qui porte sur le déroulement des séances. Il est à mon sens nécessaire qu'à ce stade nos débats retrouvent une certaine sérénité.",H,0.6951219512195121,2.0,Article X,immigration maîtrisée droit d'asile effectif et intégration réussie,0.9667153
"Je souhaite faire un rappel au titre de l'article 58 du règlement. À ce stade de nos débats, je voudrais, madame la présidente, vous demander des explications sur la suite de nos travaux, dont vous venez de rappeler l'avancée très lente.",16,16_règlement_58_rappel_alinéa,règlement - 58 - rappel - alinéa - article - fonde - fondement - débats - déroulement - séance,0.08057698389449204,False,55513,Éric Ciotti,LR,2018-04-19,41,Autre profession,article 3,immigration maîtrisée droit d'asile effectif et intégration réussie > article 3,"Je souhaite faire un rappel au titre de l'article 58 du règlement. À ce stade de nos débats, je voudrais, madame la présidente, vous demander des explications sur la suite de nos travaux, dont vous venez de rappeler l'avancée très lente.",H,0.6951219512195121,2.0,Article X,immigration maîtrisée droit d'asile effectif et intégration réussie,0.8924656
"Après l'article 1er, qui offre aux bénéficiaires de la protection subsidiaire et aux apatrides un titre de séjour d'une durée de quatre ans, et l'article 2 qui supprime le critère de régularité du séjour pour bénéficier de la réunification familiale, …",56,56_concubinage_regroupement_familial_séjour,concubinage - regroupement - familial - séjour - prouver - acte - extension - familiale - étranger - couples,0.03260611732696148,False,55516,Éric Ciotti,LR,2018-04-19,41,Autre profession,article 3,immigration maîtrisée droit d'asile effectif et intégration réussie > article 3,"Après l'article 1er, qui offre aux bénéficiaires de la protection subsidiaire et aux apatrides un titre de séjour d'une durée de quatre ans, et l'article 2 qui supprime le critère de régularité du séjour pour bénéficier de la réunification familiale, …",H,0.6951219512195121,2.0,Article X,immigration maîtrisée droit d'asile effectif et intégration réussie,0.93941754
"… pour s'opposer à une avancée qui va dans le sens de la protection des Français. Posons ce principe auquel nous en appellerons plusieurs fois durant le débat : ceux qui sollicitent le noble statut de réfugié, lorsqu'ils portent atteinte aux intérêts supérieurs de la nation ou mettent en danger nos concitoyens, ne peuvent prétendre le conserver.",17,17_asile_demandes_nationalité_pays,asile - demandes - nationalité - pays - france - étrangers - étranger - réfugié - française - territoire,0.09171567193310448,False,55520,Éric Ciotti,LR,2018-04-19,57,Autre profession,article 4,immigration maîtrisée droit d'asile effectif et intégration réussie > article 4,"… pour s'opposer à une avancée qui va dans le sens de la protection des Français. Posons ce principe auquel nous en appellerons plusieurs fois durant le débat : ceux qui sollicitent le noble statut de réfugié, lorsqu'ils portent atteinte aux intérêts supérieurs de la nation ou mettent en danger nos concitoyens, ne peuvent prétendre le conserver.",H,0.6951219512195121,2.0,Article X,immigration maîtrisée droit d'asile effectif et intégration réussie,0.20379771
"Aujourd'hui, rien n'oblige un demandeur d'asile entré de façon irrégulière sur le territoire national à déposer sa demande avant un délai, qui est actuellement de quatre mois, soit 120 jours, et qui, si le projet de loi est adopté, sera demain de 90 jours.Passer de 120 à 90 jours ne réglera pas la situation extrêmement complexe à laquelle nous sommes confrontés.",3,3_délai_mois_jours_six,délai - mois - jours - six - ans - durée - délais - cinq - quatre - un,0.02530765486621444,False,55531,Éric Ciotti,LR,2018-04-19,61,Autre profession,article 5,immigration maîtrisée droit d'asile effectif et intégration réussie > article 5,"Aujourd'hui, rien n'oblige un demandeur d'asile entré de façon irrégulière sur le territoire national à déposer sa demande avant un délai, qui est actuellement de quatre mois, soit 120 jours, et qui, si le projet de loi est adopté, sera demain de 90 jours.Passer de 120 à 90 jours ne réglera pas la situation extrêmement complexe à laquelle nous sommes confrontés.",H,0.6951219512195121,2.0,Article X,immigration maîtrisée droit d'asile effectif et intégration réussie,0.9700777
"En cette matière, le principe de précaution doit valoir pour la Nation, non pour les terroristes potentiels.",52,52_sécurité_cybersécurité_sûreté_répression,sécurité - cybersécurité - sûreté - répression - précaution - terroristes - concitoyens - menace - composée - responsabiliser,0.03057929295576329,False,55548,Éric Ciotti,LR,2018-04-20,17,Autre profession,article 7,immigration maîtrisée droit d'asile effectif et intégration réussie > article 7,"En cette matière, le principe de précaution doit valoir pour la Nation, non pour les terroristes potentiels.",H,0.6951219512195121,2.0,Article X,immigration maîtrisée droit d'asile effectif et intégration réussie,0.8856149
"Monsieur le président, il faut que nous débattions de cette question, puisque les Alpes-Maritimes sont la porte d'entrée de tous les flux migratoires dans notre pays.",36,36_immigration_régularisation_clandestins_question,immigration - régularisation - clandestins - question - 40 - régularisés - asile - 000 - nous - régularisations,0.05811491463010546,False,55556,Éric Ciotti,LR,2018-04-20,26,Autre profession,article 10 a,immigration maîtrisée droit d'asile effectif et intégration réussie > article 10 a,"Monsieur le président, il faut que nous débattions de cette question, puisque les Alpes-Maritimes sont la porte d'entrée de tous les flux migratoires dans notre pays.",H,0.6951219512195121,2.0,Article X a,immigration maîtrisée droit d'asile effectif et intégration réussie,0.32825482
"L'examen de l'article 16 le démontrera, car le débat aura lieu surtout au sein de la majorité. Les articles sont examinés sereinement. Le nombre d'amendements déposés est important, mais pas excessif. Nous devons donc légitimement constater qu'il est impossible d'achever leur examen dans le délai imparti par la conférence des présidents.",2,2_motion_renvoi_amendements_rejet,motion - renvoi - amendements - rejet - groupe - commission - nous - texte - républicains - préalable,0.10757364847572552,False,55573,Éric Ciotti,LR,2018-04-21,51,Autre profession,discussion des articles,immigration maîtrisée droit d'asile effectif et intégration réussie > discussion des articles,"L'examen de l'article 16 le démontrera, car le débat aura lieu surtout au sein de la majorité. Les articles sont examinés sereinement. Le nombre d'amendements déposés est important, mais pas excessif. Nous devons donc légitimement constater qu'il est impossible d'achever leur examen dans le délai imparti par la conférence des présidents.",H,0.6951219512195121,2.0,discussion des articles,immigration maîtrisée droit d'asile effectif et intégration réussie,0.2433711
