Document,Topic,Name,Top_n_words,Probability,Representative_document,index,nom,groupe,date_seance,nb_mots_approx,profession,titre,titre_complet,intervention,sexe,n_y_naissance,label,titre_regexed,contexte,proba_gauche
"car, à vrai dire, jusqu'à présent, je ne trouve rien de très réconfortant dans votre politique.Quoi qu'il en soit, ce débat, je le sens bien, si vous me passez l'expression.",15,15_propos_je_pas_ne,propos - je - pas - ne - vous - arguments - ai - invectives - que - ce,0.08635074698545167,False,7589,Jean Lassalle,NI,2018-04-03,30,Technicien agricole,débat sur l'application d'une procédure d'amende forfaitaire au délit d'usage illicite de stupéfiants,débat sur l'application d'une procédure d'amende forfaitaire au délit d'usage illicite de stupéfiants,"car, à vrai dire, jusqu'à présent, je ne trouve rien de très réconfortant dans votre politique.Quoi qu'il en soit, ce débat, je le sens bien, si vous me passez l'expression.",H,0.8170731707317073,2.0,débat sur l'application d'une procédure d'amende forfaitaire au délit d'usage illicite de stupéfiants,Sans contexte,0.7010237
"Le nombre de couples qui se sont formés dans ce train, le nombre d'enfants qui y ont été conçus…",9,9_enfant_filiation_père_enfants,enfant - filiation - père - enfants - pma - parents - couples - mère - femmes - femme,1.0,False,7621,Jean Lassalle,NI,2018-04-11,19,Technicien agricole,article 4,nouveau pacte ferroviaire > article 4,"Le nombre de couples qui se sont formés dans ce train, le nombre d'enfants qui y ont été conçus…",H,0.8170731707317073,2.0,Article X,nouveau pacte ferroviaire,0.92561275
"Bref, il est bien dommage d'avoir fermé cette ligne de trains de nuits.Pour être complet, après avoir parlé du train, il faut que je vous dise un mot, madame la ministre, d'un tout autre sujet. Si vous pouviez donner un mot d'encouragement au vieillard sans défense que je suis devenu,",53,53_parole_présidente_président_je,parole - présidente - président - je - mot - monsieur - madame - me - ai - intervenir,0.08382990462720176,False,7622,Jean Lassalle,NI,2018-04-11,50,Technicien agricole,article 4,nouveau pacte ferroviaire > article 4,"Bref, il est bien dommage d'avoir fermé cette ligne de trains de nuits.Pour être complet, après avoir parlé du train, il faut que je vous dise un mot, madame la ministre, d'un tout autre sujet. Si vous pouviez donner un mot d'encouragement au vieillard sans défense que je suis devenu,",H,0.8170731707317073,2.0,Article X,nouveau pacte ferroviaire,0.31299338
"La fondation caritative des Apprentis d'Auteuil a licencié ses quatre-vingts salariés d'Audaux, dans la campagne béarnaise, pour se délocaliser à Pau – avec l'accord de François Bayrou, le maire actuel. Notre territoire n'est même plus reconnu apte à former des apprentis ! Quel message d'espoir pour nos jeunes !",18,18_formation_apprentissage_entreprise_professionnelle,formation - apprentissage - entreprise - professionnelle - jeunes - enseignants - métiers - handicap - élèves - professionnels,0.14878420772982848,False,7630,Jean Lassalle,NI,2018-04-17,49,Technicien agricole,disparition des services publics,questions orales sans débat > disparition des services publics,"La fondation caritative des Apprentis d'Auteuil a licencié ses quatre-vingts salariés d'Audaux, dans la campagne béarnaise, pour se délocaliser à Pau – avec l'accord de François Bayrou, le maire actuel. Notre territoire n'est même plus reconnu apte à former des apprentis ! Quel message d'espoir pour nos jeunes !",H,0.8170731707317073,2.0,disparition des services publics,questions orales sans débat,0.285805
"Enfin, jugeant certainement le moment opportun, le Gouvernement s'apprête à introduire – ce qui en fera six au total – deux ours slovènes chez nous, dans les Pyrénées, dès le mois de septembre prochain, ruinant ainsi un pastoralisme renaissant.",32,32_1er_janvier_2026_2020,1er - janvier - 2026 - 2020 - date - 2025 - année - transfert - entrée - vigueur,0.06400525905830502,False,7632,Jean Lassalle,NI,2018-04-17,39,Technicien agricole,disparition des services publics,questions orales sans débat > disparition des services publics,"Enfin, jugeant certainement le moment opportun, le Gouvernement s'apprête à introduire – ce qui en fera six au total – deux ours slovènes chez nous, dans les Pyrénées, dès le mois de septembre prochain, ruinant ainsi un pastoralisme renaissant.",H,0.8170731707317073,2.0,disparition des services publics,questions orales sans débat,0.98078704
"Je me souviens également de voitures qui, un jour, devant moi, sur une longue ligne droite, ralentissaient puis redémarraient devant un spectacle épouvantable : une femme totalement débraillée. Alors que je la portais au commissariat, malgré ses supplications de ne pas le faire, je vis les regards qui accompagnaient notre avancée.",19,19_jaunes_gilets_mouvement_gilet,jaunes - gilets - mouvement - gilet - jaune - sont - des - les - samedi - policiers,0.010876384532052575,False,7641,Jean Lassalle,NI,2018-05-14,51,Technicien agricole,discussion générale,lutte contre les violences sexuelles et sexistes > discussion générale,"Je me souviens également de voitures qui, un jour, devant moi, sur une longue ligne droite, ralentissaient puis redémarraient devant un spectacle épouvantable : une femme totalement débraillée. Alors que je la portais au commissariat, malgré ses supplications de ne pas le faire, je vis les regards qui accompagnaient notre avancée.",H,0.8170731707317073,2.0,discussion générale,lutte contre les violences sexuelles et sexistes,0.33517718
"Madame la ministre, je fais totalement miens vos propos : je suis profondément attaché au droit de grâce dont dispose le Président de la République.",79,79_sympathie_je_remercie_panot,sympathie - je - remercie - panot - apprécie - coquerel - ai - égard - féliciter - gage,0.11951913856131731,False,7703,Jean Lassalle,NI,2018-07-16,25,Technicien agricole,avant l'article 1er,démocratie plus représentative responsable et efficace > avant l'article 1er,"Madame la ministre, je fais totalement miens vos propos : je suis profondément attaché au droit de grâce dont dispose le Président de la République.",H,0.8170731707317073,2.0,avant Article Xer,démocratie plus représentative responsable et efficace,0.18365149
"Et comme vous m'annoncerez bientôt que mon temps de parole est écoulé, madame la présidente, je vais me contenter de quelques formules à l'emporte-pièce…",53,53_parole_présidente_président_je,parole - présidente - président - je - mot - monsieur - madame - me - ai - intervenir,0.08032200613213956,False,7735,Jean Lassalle,NI,2018-10-15,24,Technicien agricole,article 1er,projet de loi de finances pour 2019 > article 1er,"Et comme vous m'annoncerez bientôt que mon temps de parole est écoulé, madame la présidente, je vais me contenter de quelques formules à l'emporte-pièce…",H,0.8170731707317073,2.0,Article Xer,projet de loi de finances pour 2019,0.38634968
"Pourquoi ? Parce que nous n'arrivons pas à créer du consensus dans ce pays. Dès le départ, on s'y prend mal. Comment un président qui a été élu jeune et frais…",5,5_référendum_peuple_démocratie_assemblée,référendum - peuple - démocratie - assemblée - vote - populaire - initiative - élus - le - constitution,0.010744980741125586,False,7761,Jean Lassalle,NI,2018-11-20,31,Technicien agricole,article 1er ter,programmation 2018-2022 et réforme de la justice > article 1er ter,"Pourquoi ? Parce que nous n'arrivons pas à créer du consensus dans ce pays. Dès le départ, on s'y prend mal. Comment un président qui a été élu jeune et frais…",H,0.8170731707317073,2.0,Article Xer ter,programmation 2018-2022 et réforme de la justice,0.34464478
"… et qui n'avait encore presque rien fait dans sa vie a-t-il pu, en dix-huit mois, perdre tout le crédit qu'il avait ?",3,3_délai_mois_jours_six,délai - mois - jours - six - ans - durée - délais - cinq - quatre - un,0.10703735140479671,False,7762,Jean Lassalle,NI,2018-11-20,23,Technicien agricole,article 1er ter,programmation 2018-2022 et réforme de la justice > article 1er ter,"… et qui n'avait encore presque rien fait dans sa vie a-t-il pu, en dix-huit mois, perdre tout le crédit qu'il avait ?",H,0.8170731707317073,2.0,Article Xer ter,programmation 2018-2022 et réforme de la justice,0.84197795
"… qui font l'objet d'un même verdict de la part du peuple : elles ont toutes perdu totalement sa confiance.Je ne vois effectivement qu'une solution : comme je le dis souvent ici, il manque, dans notre espace public, les finances nécessaires…",22,22_euros_milliards_millions_fonds,euros - milliards - millions - fonds - innovation - budget - moins - 250 - collectivités - état,0.09100617966321602,False,7767,Jean Lassalle,NI,2018-11-22,41,Technicien agricole,article 24,programmation 2018-2022 et réforme de la justice > article 24,"… qui font l'objet d'un même verdict de la part du peuple : elles ont toutes perdu totalement sa confiance.Je ne vois effectivement qu'une solution : comme je le dis souvent ici, il manque, dans notre espace public, les finances nécessaires…",H,0.8170731707317073,2.0,Article X,programmation 2018-2022 et réforme de la justice,0.6871572
"Moi, monsieur le président, je ne vous demanderai plus la parole ! Et demain, je vais à la manifestation !",53,53_parole_présidente_président_je,parole - présidente - président - je - mot - monsieur - madame - me - ai - intervenir,0.04768812491715259,False,7773,Jean Lassalle,NI,2018-11-23,20,Technicien agricole,article 33,programmation 2018-2022 et réforme de la justice > article 33,"Moi, monsieur le président, je ne vous demanderai plus la parole ! Et demain, je vais à la manifestation !",H,0.8170731707317073,2.0,Article X,programmation 2018-2022 et réforme de la justice,0.30429596
"Il faut les éduquer avant de les suivre, parce qu'ils ne sont pas de bon conseil. Il faut d'abord leur apprendre. Mais, France, continue ton beau chemin, parce que tu vas nous ouvrir la voie et tu vas nous libérer pour le monde de demain ! Je te remercie, France chérie !",25,25_enfants_éducation_sensibilisation_gestes,enfants - éducation - sensibilisation - gestes - parents - secours - alimentation - premiers - sauvent - dangers,0.07330664811234947,False,7784,Jean Lassalle,NI,2018-12-05,52,Technicien agricole,déclaration du gouvernement sur la fiscalité écologique et ses conséquences sur le pouvoir d'achat suivie d'un débat et d'un vote,déclaration du gouvernement sur la fiscalité écologique et ses conséquences sur le pouvoir d'achat suivie d'un débat et d'un vote,"Il faut les éduquer avant de les suivre, parce qu'ils ne sont pas de bon conseil. Il faut d'abord leur apprendre. Mais, France, continue ton beau chemin, parce que tu vas nous ouvrir la voie et tu vas nous libérer pour le monde de demain ! Je te remercie, France chérie !",H,0.8170731707317073,2.0,déclaration du gouvernement sur la fiscalité écologique et ses conséquences sur le pouvoir d'achat suivie d'un débat et d'un vote,Sans contexte,0.7668613
"Madame la ministre, avant même que ce texte ne soit voté, nous constatons une avancée considérable. Nous savons qu'il sera très difficile pour l'actuel gouvernement et pour les prochains, y compris peut-être le mien, de revenir sur ce qui est décidé. Imaginez ce que représentera la fermeture, quelque part, d'une cour d'appel ou d'un tribunal, à plus forte raison d'une maternité !",126,126_tribunal_instance_tribunaux_fermeture,tribunal - instance - tribunaux - fermeture - justice - juge - substance - magistrats - fusion - litiges,1.0,False,7785,Jean Lassalle,NI,2018-12-11,62,Technicien agricole,article 55 (examen prioritaire),programmation 2018-2022 et réforme de la justice > article 55 (examen prioritaire),"Madame la ministre, avant même que ce texte ne soit voté, nous constatons une avancée considérable. Nous savons qu'il sera très difficile pour l'actuel gouvernement et pour les prochains, y compris peut-être le mien, de revenir sur ce qui est décidé. Imaginez ce que représentera la fermeture, quelque part, d'une cour d'appel ou d'un tribunal, à plus forte raison d'une maternité !",H,0.8170731707317073,2.0,Article X (examen prioritaire),programmation 2018-2022 et réforme de la justice,0.0559157
Je vous supplie de maintenir la perception de Bedous. Ce ne sont peut-être pas les contribuables qui…,0,0_impôt_csg_taxe_euros,impôt - csg - taxe - euros - sur - retraités - prélèvement - hausse - la - revenu,1.0,False,7797,Jean Lassalle,NI,2018-12-18,17,Technicien agricole,article 11,projet de loi de finances pour 2019 > article 11,Je vous supplie de maintenir la perception de Bedous. Ce ne sont peut-être pas les contribuables qui…,H,0.8170731707317073,2.0,Article X,projet de loi de finances pour 2019,0.529731
"Je vous remercie infiniment, monsieur le président ; je vous trouve excellent, comme je vous l'ai déjà dit,...",79,79_sympathie_je_remercie_panot,sympathie - je - remercie - panot - apprécie - coquerel - ai - égard - féliciter - gage,1.0,False,7816,Jean Lassalle,NI,2019-01-15,18,Technicien agricole,article 2,programmation 2018-2022 et réforme de la justice > article 2,"Je vous remercie infiniment, monsieur le président ; je vous trouve excellent, comme je vous l'ai déjà dit,...",H,0.8170731707317073,2.0,Article X,programmation 2018-2022 et réforme de la justice,0.67802435
"Madame la présidente, j'allais vous féliciter une fois de plus pour votre présidence, mais je n'ose plus, depuis que notre collègue s'est mis en colère !",79,79_sympathie_je_remercie_panot,sympathie - je - remercie - panot - apprécie - coquerel - ai - égard - féliciter - gage,1.0,True,7833,Jean Lassalle,NI,2019-02-13,26,Technicien agricole,article 4,pour une école de la confiance > article 4,"Madame la présidente, j'allais vous féliciter une fois de plus pour votre présidence, mais je n'ose plus, depuis que notre collègue s'est mis en colère !",H,0.8170731707317073,2.0,Article X,pour une école de la confiance,0.24723837
"Ce sera ma dernière intervention, monsieur le président. Cela vous évitera d'avoir à consulter les fonctionnaires pour savoir si j'ai le droit de parler ou pas.",53,53_parole_présidente_président_je,parole - présidente - président - je - mot - monsieur - madame - me - ai - intervenir,0.26238891452928925,False,7843,Jean Lassalle,NI,2019-03-12,26,Technicien agricole,article 2,agence nationale de la cohésion des territoires > article 2,"Ce sera ma dernière intervention, monsieur le président. Cela vous évitera d'avoir à consulter les fonctionnaires pour savoir si j'ai le droit de parler ou pas.",H,0.8170731707317073,2.0,Article X,agence nationale de la cohésion des territoires,0.4996144
"Je tenais à le dire avec beaucoup de sympathie à l'égard de Mme la ministre – je l'ai dit hier, elle est très ancienne, cette sympathie –,",79,79_sympathie_je_remercie_panot,sympathie - je - remercie - panot - apprécie - coquerel - ai - égard - féliciter - gage,0.11955156880354419,False,7844,Jean Lassalle,NI,2019-03-12,27,Technicien agricole,article 2,agence nationale de la cohésion des territoires > article 2,"Je tenais à le dire avec beaucoup de sympathie à l'égard de Mme la ministre – je l'ai dit hier, elle est très ancienne, cette sympathie –,",H,0.8170731707317073,2.0,Article X,agence nationale de la cohésion des territoires,0.3080574
"Je commence tout de suite, dans ce cas, non sans émotion car cela fait la deuxième fois seulement que je monte à la tribune depuis ma réélection. Il fut un temps où il ne me fallait que quarante-huit heures ! Mais l'indépendance n'a pas de prix – ou plutôt, elle est hors de prix. Je n'ai qu'à m'en prendre à moi-même.",13,13_suspension_séance_minutes_demande,suspension - séance - minutes - demande - temps - parole - président - heure - je - règlement,0.01962028784918481,False,7855,Jean Lassalle,NI,2019-03-13,61,Technicien agricole,discussion générale,croissance et transformation des entreprises > discussion générale,"Je commence tout de suite, dans ce cas, non sans émotion car cela fait la deuxième fois seulement que je monte à la tribune depuis ma réélection. Il fut un temps où il ne me fallait que quarante-huit heures ! Mais l'indépendance n'a pas de prix – ou plutôt, elle est hors de prix. Je n'ai qu'à m'en prendre à moi-même.",H,0.8170731707317073,2.0,discussion générale,croissance et transformation des entreprises,0.5812639
"De grâce, je finis en quinze secondes.Il faut former une nouvelle génération de patrons. Aujourd'hui, ils ont laissé place à des spéculateurs de très haut niveau, qui ne pensent qu'à faire du pognon et de la thune.",145,145_crée_dividendes_salaires_capital,crée - dividendes - salaires - capital - croître - cessé - absurde - économie - bénéfices - finance,1.0,True,7860,Jean Lassalle,NI,2019-03-13,37,Technicien agricole,discussion générale,croissance et transformation des entreprises > discussion générale,"De grâce, je finis en quinze secondes.Il faut former une nouvelle génération de patrons. Aujourd'hui, ils ont laissé place à des spéculateurs de très haut niveau, qui ne pensent qu'à faire du pognon et de la thune.",H,0.8170731707317073,2.0,discussion générale,croissance et transformation des entreprises,0.91794425
"C'est autant qui manque dans les caisses de l'État et dans l'univers public, alors que nous en aurions tant besoin !",22,22_euros_milliards_millions_fonds,euros - milliards - millions - fonds - innovation - budget - moins - 250 - collectivités - état,0.07300590795841069,False,7861,Jean Lassalle,NI,2019-03-13,21,Technicien agricole,discussion générale,croissance et transformation des entreprises > discussion générale,"C'est autant qui manque dans les caisses de l'État et dans l'univers public, alors que nous en aurions tant besoin !",H,0.8170731707317073,2.0,discussion générale,croissance et transformation des entreprises,0.2381851
Vous n'êtes pas mauvaise ! Je devrais vous inclure dans ma liste pour les élections européennes !,11,11_europe_européenne_union_européen,europe - européenne - union - européen - défense - peuples - france - européennes - européens - notre,0.02633292963095519,False,7862,Jean Lassalle,NI,2019-03-13,17,Technicien agricole,discussion générale,croissance et transformation des entreprises > discussion générale,Vous n'êtes pas mauvaise ! Je devrais vous inclure dans ma liste pour les élections européennes !,H,0.8170731707317073,2.0,discussion générale,croissance et transformation des entreprises,0.30148503
"Je ne pensais pas avoir autant de temps devant moi, monsieur le président : je m'étais préparé pour mes deux minutes habituelles !",13,13_suspension_séance_minutes_demande,suspension - séance - minutes - demande - temps - parole - président - heure - je - règlement,0.04203822906481886,False,7878,Jean Lassalle,NI,2019-05-07,23,Technicien agricole,discussion générale,jeunes majeurs vulnérables > discussion générale,"Je ne pensais pas avoir autant de temps devant moi, monsieur le président : je m'étais préparé pour mes deux minutes habituelles !",H,0.8170731707317073,2.0,discussion générale,jeunes majeurs vulnérables,0.14500825
"Laissez-moi finir, car je ne vais pas parler toutes les deux minutes. Pourquoi devrais-je être interrompu plus que les autres ?",13,13_suspension_séance_minutes_demande,suspension - séance - minutes - demande - temps - parole - président - heure - je - règlement,0.02074317194341438,False,7922,Jean Lassalle,NI,2019-06-04,21,Technicien agricole,article 2,mobilités > article 2,"Laissez-moi finir, car je ne vais pas parler toutes les deux minutes. Pourquoi devrais-je être interrompu plus que les autres ?",H,0.8170731707317073,2.0,Article X,mobilités,0.68510836
"Oui, je fais attention, car ce que je dis me coûte très cher. C'est pourquoi je ne parle plus nulle part. Alors, pour une fois que j'en ai l'occasion, ne me faites pas perdre du temps !",61,61_micro_couvrez_aboyer_me,micro - couvrez - aboyer - me - parle - parler - règlement - fais - plutôt - faites,1.0,False,7925,Jean Lassalle,NI,2019-06-19,37,Technicien agricole,discussion générale,dépenses fiscales > discussion générale,"Oui, je fais attention, car ce que je dis me coûte très cher. C'est pourquoi je ne parle plus nulle part. Alors, pour une fois que j'en ai l'occasion, ne me faites pas perdre du temps !",H,0.8170731707317073,2.0,discussion générale,dépenses fiscales,0.38142484
"Permettez-moi tout d'abord de souligner l'importance du travail de notre collègue Véronique Louwagie et de rappeler l'abnégation, le courage et la patience qu'il lui a fallu pour aboutir aujourd'hui à ce texte, qui sera très largement voté.",64,64_commission_travail_thiériot_texte,commission - travail - thiériot - texte - je - ai - ensemble - heure - viry - remercions,1.0,False,7934,Jean Lassalle,NI,2019-06-19,37,Technicien agricole,discussion générale,indemnisation des victimes du valproate de sodium > discussion générale,"Permettez-moi tout d'abord de souligner l'importance du travail de notre collègue Véronique Louwagie et de rappeler l'abnégation, le courage et la patience qu'il lui a fallu pour aboutir aujourd'hui à ce texte, qui sera très largement voté.",H,0.8170731707317073,2.0,discussion générale,indemnisation des victimes du valproate de sodium,0.9701398
"Laissez-moi terminer, tout de même : je ne suis quand même pas bavard à ce point ! Mes collègues peuvent tous parler des heures, et moi, dès que j'arrive, tout le monde s'excite. C'est incroyable !",61,61_micro_couvrez_aboyer_me,micro - couvrez - aboyer - me - parle - parler - règlement - fais - plutôt - faites,0.1197501738204471,False,7946,Jean Lassalle,NI,2019-06-25,36,Technicien agricole,article 1er,collectivité européenne d'alsace > article 1er,"Laissez-moi terminer, tout de même : je ne suis quand même pas bavard à ce point ! Mes collègues peuvent tous parler des heures, et moi, dès que j'arrive, tout le monde s'excite. C'est incroyable !",H,0.8170731707317073,2.0,Article Xer,collectivité européenne d'alsace,0.36460292
"Il est dès lors légitime que, comme la Collectivité territoriale de Corse, la Collectivité européenne d'Alsace puisse présenter au Gouvernement des propositions tendant à modifier ou à adapter des dispositions législatives ou réglementaires en vigueur ou en cours d'élaboration concernant spécifiquement le territoire de l'Alsace.",1,1_territoires_vise_mobilité_conseil,territoires - vise - mobilité - conseil - communes - compétences - amendement - des - agence - communautés,0.037087674604691034,False,7950,Jean Lassalle,NI,2019-06-25,45,Technicien agricole,article 1er,collectivité européenne d'alsace > article 1er,"Il est dès lors légitime que, comme la Collectivité territoriale de Corse, la Collectivité européenne d'Alsace puisse présenter au Gouvernement des propositions tendant à modifier ou à adapter des dispositions législatives ou réglementaires en vigueur ou en cours d'élaboration concernant spécifiquement le territoire de l'Alsace.",H,0.8170731707317073,2.0,Article Xer,collectivité européenne d'alsace,0.39307547
"Compte tenu de l'évolution de la presse et de la distribution ainsi que du faible nombre de clients dans les lieux de vente, parfois une seule personne doit s'occuper de tout, et c'est difficile.",28,28_presse_médias_diffusion_gafa,presse - médias - diffusion - gafa - internet - pluralité - contenus - et - indépendance - bichet,0.05829284822283679,False,7960,Jean Lassalle,NI,2019-07-23,34,Technicien agricole,discussion générale,modernisation de la distribution de la presse > discussion générale,"Compte tenu de l'évolution de la presse et de la distribution ainsi que du faible nombre de clients dans les lieux de vente, parfois une seule personne doit s'occuper de tout, et c'est difficile.",H,0.8170731707317073,2.0,discussion générale,modernisation de la distribution de la presse,0.6262098
